2018.09.24.21.44.40, PEER_DISCOVERED, 9674209814, 192.168.43.208
2018.09.24.21.44.41, SUMMARY_VECTOR_RECEIVED, 17003
2018.09.24.21.44.46, CHECKING OLD LOG FILES IF ANY
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pri_user.bgp -1.0
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pub_9674209814.bgp -1.0
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pub_manager.bgp -1.0
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pub_volunteer.bgp -1.0
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pri_manager.bgp -1.0
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 7358f9c4a024948460697b83a84e6fc3, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_44ba374447c33b05.jpeg, 238277, 238277.0, 192.168.43.208
2018.09.24.21.45.12, SUMMARY_VECTOR_RECEIVED, 16999
2018.09.24.21.45.17, CHECKING OLD LOG FILES IF ANY
2018.09.24.21.45.17, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9674209814_20180926153317.txt 9.999999999999998E13
2018.09.24.21.45.17, START_FILE_DOWNLOAD, 5e9655847a9fa6e92be7c0196892b9, MapDisarm_Log_9674209814_20180926153317.txt, 0, 234441.0, 9674209814
2018.09.24.21.45.17, STOP_FILE_DOWNLOAD, 5e9655847a9fa6e92be7c0196892b9, MapDisarm_Log_9674209814_20180926153317.txt, 234441, 234441.0, 9674209814
2018.09.24.21.45.22, KEEPING LOGMapDisarm_Log_9674209814_20180926153317.txt
2018.09.24.21.45.32, SUMMARY_VECTOR_RECEIVED, 16999
2018.09.24.21.45.37, CHECKING OLD LOG FILES IF ANY
2018.09.24.21.45.37, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9674209814_20180926153338.txt 9.999999999999998E13
2018.09.24.21.45.38, START_FILE_DOWNLOAD, 78efcfd9b8b2699b531ccee25e4013, MapDisarm_Log_9674209814_20180926153338.txt, 0, 234491.0, 9674209814
2018.09.24.21.45.38, STOP_FILE_DOWNLOAD, 78efcfd9b8b2699b531ccee25e4013, MapDisarm_Log_9674209814_20180926153338.txt, 234491, 234491.0, 9674209814
2018.09.24.21.45.42, REMOVING LOGMapDisarm_Log_9674209814_20180926153317.txt
2018.09.24.21.45.42, KEEPING LOGMapDisarm_Log_9674209814_20180926153338.txt
2018.09.24.21.45.53, SUMMARY_VECTOR_RECEIVED, 17003
2018.09.24.21.45.57, CHECKING OLD LOG FILES IF ANY
2018.09.24.21.45.57, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9674209814_20180926153358.txt 9.999999999999998E13
2018.09.24.21.45.57, START_FILE_DOWNLOAD, 6c764aa74fc81230d02223a6b5ebba81, MapDisarm_Log_9674209814_20180926153358.txt, 0, 234541.0, 9674209814
2018.09.24.21.45.57, STOP_FILE_DOWNLOAD, 6c764aa74fc81230d02223a6b5ebba81, MapDisarm_Log_9674209814_20180926153358.txt, 234541, 234541.0, 9674209814
2018.09.24.21.46.02, REMOVING LOGMapDisarm_Log_9674209814_20180926153338.txt
2018.09.24.21.46.02, KEEPING LOGMapDisarm_Log_9674209814_20180926153358.txt
2018.09.24.21.46.12, SUMMARY_VECTOR_RECEIVED, 17003
2018.09.24.21.46.17, CHECKING OLD LOG FILES IF ANY
2018.09.24.21.46.17, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9674209814_20180926153418.txt 9.999999999999998E13
2018.09.24.21.46.17, START_FILE_DOWNLOAD, 45b11e9884ab269cc7d61a8630939ea8, MapDisarm_Log_9674209814_20180926153418.txt, 0, 234591.0, 9674209814
2018.09.24.21.46.17, STOP_FILE_DOWNLOAD, 45b11e9884ab269cc7d61a8630939ea8, MapDisarm_Log_9674209814_20180926153418.txt, 234591, 234591.0, 9674209814
2018.09.24.21.46.22, KEEPING LOGMapDisarm_Log_9674209814_20180926153418.txt
2018.09.24.21.46.22, REMOVING LOGMapDisarm_Log_9674209814_20180926153358.txt
2018.09.24.21.46.32, SUMMARY_VECTOR_RECEIVED, 16997
2018.09.24.21.46.37, CHECKING OLD LOG FILES IF ANY
2018.09.24.21.46.37, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9674209814_20180926153438.txt 9.999999999999998E13
2018.09.24.21.46.37, START_FILE_DOWNLOAD, d2b10122da5dec71f964e862c10e6, MapDisarm_Log_9674209814_20180926153438.txt, 0, 234641.0, 9674209814
2018.09.24.21.46.37, STOP_FILE_DOWNLOAD, d2b10122da5dec71f964e862c10e6, MapDisarm_Log_9674209814_20180926153438.txt, 234641, 234641.0, 9674209814
2018.09.24.21.46.42, REMOVING LOGMapDisarm_Log_9674209814_20180926153418.txt
2018.09.24.21.46.42, KEEPING LOGMapDisarm_Log_9674209814_20180926153438.txt
2018.09.24.21.46.52, SUMMARY_VECTOR_RECEIVED, 17001
2018.09.24.21.46.57, CHECKING OLD LOG FILES IF ANY
2018.09.24.21.46.57, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9674209814_20180926153459.txt 9.999999999999998E13
2018.09.24.21.47.12, SUMMARY_VECTOR_RECEIVED, 17003
2018.09.24.21.47.17, CHECKING OLD LOG FILES IF ANY
2018.09.24.21.47.17, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9674209814_20180926153527.txt 9.999999999999998E13
2018.09.24.21.47.17, START_FILE_DOWNLOAD, d648a27413f33333ba4a783279499152, MapDisarm_Log_9674209814_20180926153527.txt, 0, 234790.0, 9674209814
2018.09.24.21.47.17, STOP_FILE_DOWNLOAD, d648a27413f33333ba4a783279499152, MapDisarm_Log_9674209814_20180926153527.txt, 234790, 234790.0, 9674209814
2018.09.24.21.47.22, KEEPING LOGMapDisarm_Log_9674209814_20180926153527.txt
2018.09.24.21.47.22, REMOVING LOGMapDisarm_Log_9674209814_20180926153438.txt
2018.09.24.21.47.32, SUMMARY_VECTOR_RECEIVED, 17001
2018.09.24.21.47.37, CHECKING OLD LOG FILES IF ANY
2018.09.24.21.47.37, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9674209814_20180926153547.txt 9.999999999999998E13
2018.09.24.21.47.37, START_FILE_DOWNLOAD, 35ddb224a6f5fcb68df839e285be6d7, MapDisarm_Log_9674209814_20180926153547.txt, 0, 234840.0, 9674209814
2018.09.24.21.47.37, STOP_FILE_DOWNLOAD, 35ddb224a6f5fcb68df839e285be6d7, MapDisarm_Log_9674209814_20180926153547.txt, 234840, 234840.0, 9674209814
2018.09.24.21.47.42, REMOVING LOGMapDisarm_Log_9674209814_20180926153527.txt
2018.09.24.21.47.42, KEEPING LOGMapDisarm_Log_9674209814_20180926153547.txt
2018.09.24.21.47.52, SUMMARY_VECTOR_RECEIVED, 17001
2018.09.24.21.47.57, CHECKING OLD LOG FILES IF ANY
2018.09.24.21.47.57, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9674209814_20180926153607.txt 9.999999999999998E13
2018.09.24.21.47.57, START_FILE_DOWNLOAD, 3c6bd651a42929eed5d2ddc804585c4, MapDisarm_Log_9674209814_20180926153607.txt, 0, 234890.0, 9674209814
2018.09.24.21.47.57, STOP_FILE_DOWNLOAD, 3c6bd651a42929eed5d2ddc804585c4, MapDisarm_Log_9674209814_20180926153607.txt, 234890, 234890.0, 9674209814
2018.09.24.21.48.02, KEEPING LOGMapDisarm_Log_9674209814_20180926153607.txt
2018.09.24.21.48.02, REMOVING LOGMapDisarm_Log_9674209814_20180926153547.txt
2018.09.24.21.48.12, SUMMARY_VECTOR_RECEIVED, 16999
2018.09.24.21.48.17, CHECKING OLD LOG FILES IF ANY
2018.09.24.21.48.17, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9674209814_20180926153627.txt 9.999999999999998E13
2018.09.24.21.48.17, START_FILE_DOWNLOAD, 109e3b1285bd69bda93c75fee94a79, MapDisarm_Log_9674209814_20180926153627.txt, 0, 234940.0, 9674209814
2018.09.24.21.48.17, STOP_FILE_DOWNLOAD, 109e3b1285bd69bda93c75fee94a79, MapDisarm_Log_9674209814_20180926153627.txt, 234940, 234940.0, 9674209814
2018.09.24.21.48.22, REMOVING LOGMapDisarm_Log_9674209814_20180926153607.txt
2018.09.24.21.48.22, KEEPING LOGMapDisarm_Log_9674209814_20180926153627.txt
2018.09.24.21.48.32, SUMMARY_VECTOR_RECEIVED, 17003
2018.09.24.21.48.37, CHECKING OLD LOG FILES IF ANY
2018.09.24.21.48.37, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9674209814_20180926153647.txt 9.999999999999998E13
2018.09.24.21.48.37, START_FILE_DOWNLOAD, eceeca701444936da45716128eb59dc9, MapDisarm_Log_9674209814_20180926153647.txt, 0, 234990.0, 9674209814
2018.09.24.21.48.37, STOP_FILE_DOWNLOAD, eceeca701444936da45716128eb59dc9, MapDisarm_Log_9674209814_20180926153647.txt, 234990, 234990.0, 9674209814
2018.09.24.21.48.42, REMOVING LOGMapDisarm_Log_9674209814_20180926153627.txt
2018.09.24.21.48.42, KEEPING LOGMapDisarm_Log_9674209814_20180926153647.txt
2018.09.24.21.48.52, SUMMARY_VECTOR_RECEIVED, 18312
2018.09.24.21.48.57, DEBUG Controller MISSING FILE START DOWNLOAD 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_17.diff -1.0
2018.09.24.21.48.57, START_FILE_DOWNLOAD, 746759d4a9a2f97fed93a19a8b13df24, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_cd8b69971cba43ca.png, 0, 155351.0, 192.168.43.208
2018.09.24.21.48.57, START_FILE_DOWNLOAD, f4d2e3a46f9808ec6f6ddf17df751a4, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_17.diff, 0, 2295.0, 9674209814
