2018.08.26.15.19.52, PEER_DISCOVERED, 9000000004, 192.168.43.197
2018.08.26.15.19.55, SUMMARY_VECTOR_RECEIVED, 50528
2018.08.26.15.19.58, PEER_DISCOVERED, 9000000001, 192.168.43.147
2018.08.26.15.20.00, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.00, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pskc_schema.xsd -1.0
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pub_9000000001.bgp -1.0
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pub_9000000004.bgp -1.0
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pub_volunteer.bgp -1.0
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pri_volunteer.bgp -1.0
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, 31522c3ee52029cd30756032cef1cf8d, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_7.diff, 1151, 1151.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, e5fc965e165467d246fd84ec5599181, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_5.diff, 800, 800.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, b0842993529ba868c98224f55d83ccc, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_c356cc51aa571501.jpeg, 203013, 203013.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, a1ab80e03d385a6789c5d71aa561a32, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_fe0a301a8d2d902d.jpeg, 197513, 197513.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, cb32fba7d2581e1784d32e7fe5b0682, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_37270c2827987673.png, 448866, 448866.0, 192.168.43.197
2018.08.26.15.20.11, STOP_FILE_DOWNLOAD, 3618c3631835a4b85e3a86229396e2c9, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_ab50440039125bb5.png, 329303, 329303.0, 192.168.43.197
2018.08.26.15.20.11, STOP_FILE_DOWNLOAD, 9833808b56cac7a4a7a5a359cb4334e8, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_505c8933333f81d6.png, 517842, 517842.0, 192.168.43.197
2018.08.26.15.20.11, STOP_FILE_DOWNLOAD, cd5c7b7f23479676999c43745e1ad50, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_2a48635345b3d665.png, 728137, 728137.0, 192.168.43.197
2018.08.26.15.20.25, SUMMARY_VECTOR_RECEIVED, 51278
2018.08.26.15.20.26, SUMMARY_VECTOR_RECEIVED, 51274
2018.08.26.15.20.30, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.30, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.30, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.30, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.30, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9000000004_20180826152022.txt 9.999999999999998E13
2018.08.26.15.20.30, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9000000001_20180826152016.txt 9.999999999999998E13
2018.08.26.15.20.30, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9000000001_20180826151922.txt 9.999999999999998E13
2018.08.26.15.20.30, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9000000004_20180826152002.txt 9.999999999999998E13
2018.08.26.15.20.30, START_FILE_DOWNLOAD, 8824013e7a029fa284c48b5091349b, MapDisarm_Log_9000000001_20180826152016.txt, 0, 1896.0, 9000000001
2018.08.26.15.20.30, STOP_FILE_DOWNLOAD, 8824013e7a029fa284c48b5091349b, MapDisarm_Log_9000000001_20180826152016.txt, 1896, 1896.0, 9000000001
2018.08.26.15.20.30, START_FILE_DOWNLOAD, 381ee59c6ae411c1d075affce458edcf, MapDisarm_Log_9000000004_20180826152022.txt, 0, 5568.0, 9000000004
2018.08.26.15.20.30, STOP_FILE_DOWNLOAD, 381ee59c6ae411c1d075affce458edcf, MapDisarm_Log_9000000004_20180826152022.txt, 5568, 5568.0, 9000000004
2018.08.26.15.20.30, START_FILE_DOWNLOAD, f5966069ea8b6dc83219cb7f3b916ec, MapDisarm_Log_9000000004_20180826152002.txt, 0, 5472.0, 9000000001
2018.08.26.15.20.30, STOP_FILE_DOWNLOAD, f5966069ea8b6dc83219cb7f3b916ec, MapDisarm_Log_9000000004_20180826152002.txt, 5472, 5472.0, 9000000001
2018.08.26.15.20.30, START_FILE_DOWNLOAD, 62e4383c9c2f2c812bcdc1342d34885, MapDisarm_Log_9000000001_20180826151922.txt, 0, 1796.0, 9000000004
2018.08.26.15.20.30, STOP_FILE_DOWNLOAD, 62e4383c9c2f2c812bcdc1342d34885, MapDisarm_Log_9000000001_20180826151922.txt, 1796, 1796.0, 9000000004
2018.08.26.15.20.35, REMOVING LOGMapDisarm_Log_9000000001_20180826151922.txt
2018.08.26.15.20.35, KEEPING LOGMapDisarm_Log_9000000001_20180826152016.txt
2018.08.26.15.20.35, KEEPING LOGMapDisarm_Log_9000000004_20180826152022.txt
2018.08.26.15.20.35, REMOVING LOGMapDisarm_Log_9000000004_20180826152002.txt
2018.08.26.15.20.35, KEEPING LOGMapDisarm_Log_9000000004_20180826152022.txt
2018.08.26.15.20.46, SUMMARY_VECTOR_RECEIVED, 51697
2018.08.26.15.20.46, SUMMARY_VECTOR_RECEIVED, 52382
2018.08.26.15.20.50, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.50, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.51, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.51, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.51, DEBUG Controller MISSING FILE START DOWNLOAD de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_10.diff -1.0
2018.08.26.15.20.51, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9000000004_20180826152042.txt 9.999999999999998E13
2018.08.26.15.20.51, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9000000001_20180826152036.txt 9.999999999999998E13
2018.08.26.15.20.51, START_FILE_DOWNLOAD, 52a362968e0118919285fa38bf9aae, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_10.diff, 0, 1510.0, 9000000001
